Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
5/11/2020,24220,0,7
5/11/2020,24221,0,4
5/11/2020,24224,5,62
5/11/2020,24225,0,10
5/11/2020,24226,0,13
5/11/2020,24228,0,93
5/11/2020,24230,0,88
5/11/2020,24236,5,45
5/11/2020,24237,0,7
5/11/2020,24239,0,4
5/11/2020,24243,0,34
5/11/2020,24244,Suppressed*,83
5/11/2020,24245,0,14
5/11/2020,24246,0,5
5/11/2020,24248,Suppressed*,29
5/11/2020,24250,0,11
5/11/2020,24251,Suppressed*,131
5/11/2020,24256,0,36
5/11/2020,24258,0,19
5/11/2020,24260,0,53
5/11/2020,24263,Suppressed*,84
5/11/2020,24265,0,9
5/11/2020,24266,Suppressed*,103
5/11/2020,24269,0,4
5/11/2020,24270,Suppressed*,6
5/11/2020,24271,0,20
5/11/2020,24272,0,6
5/11/2020,24273,Suppressed*,69
5/11/2020,24277,Suppressed*,86
5/11/2020,24279,0,34
5/11/2020,24280,0,5
5/11/2020,24281,0,21
5/11/2020,24282,0,10
5/11/2020,24283,0,36
5/11/2020,24290,0,20
5/11/2020,24292,0,8
5/11/2020,24293,Suppressed*,124
5/11/2020,24301,Suppressed*,216
5/11/2020,24311,0,24
5/11/2020,24312,0,18
5/11/2020,24313,Suppressed*,7
5/11/2020,24314,0,31
5/11/2020,24315,0,40
5/11/2020,24316,0,2
5/11/2020,24317,Suppressed*,25
5/11/2020,24318,0,8
5/11/2020,24319,5,83
5/11/2020,24322,0,3
5/11/2020,24323,Suppressed*,9
5/11/2020,24324,0,32
5/11/2020,24325,0,4
5/11/2020,24326,0,4
5/11/2020,24328,0,13
5/11/2020,24330,5,35
5/11/2020,24333,84,331
5/11/2020,24340,Suppressed*,80
5/11/2020,24343,8,92
5/11/2020,24347,0,16
5/11/2020,24348,0,66
5/11/2020,24350,0,9
5/11/2020,24351,0,4
5/11/2020,24352,0,10
5/11/2020,24354,Suppressed*,197
5/11/2020,24360,Suppressed*,84
5/11/2020,24361,Suppressed*,73
5/11/2020,24363,0,6
5/11/2020,24366,Suppressed*,13
5/11/2020,24368,Suppressed*,54
5/11/2020,24370,Suppressed*,71
5/11/2020,24374,0,13
5/11/2020,24375,0,10
5/11/2020,24377,0,2
5/11/2020,24378,Suppressed*,7
5/11/2020,24380,Suppressed*,8
5/11/2020,24381,Suppressed*,29
5/11/2020,24382,Suppressed*,167
5/11/2020,24401,23,311
5/11/2020,24412,0,1
5/11/2020,24413,0,4
5/11/2020,24415,0,2
5/11/2020,24416,9,25
5/11/2020,24421,Suppressed*,10
5/11/2020,24422,6,85
5/11/2020,24426,Suppressed*,147
5/11/2020,24430,0,19
5/11/2020,24431,5,22
5/11/2020,24432,Suppressed*,1
5/11/2020,24433,0,1
5/11/2020,24435,Suppressed*,7
5/11/2020,24437,0,5
5/11/2020,24439,0,8
5/11/2020,24440,7,28
5/11/2020,24441,14,81
5/11/2020,24442,0,2
5/11/2020,24445,0,26
5/11/2020,24448,0,4
5/11/2020,24450,7,58
5/11/2020,24457,0,11
5/11/2020,24458,0,4
5/11/2020,24460,0,9
5/11/2020,24465,Suppressed*,11
5/11/2020,24467,Suppressed*,12
5/11/2020,24471,Suppressed*,22
5/11/2020,24472,0,13
5/11/2020,24473,0,2
5/11/2020,24474,0,5
5/11/2020,24476,0,4
5/11/2020,24477,11,109
5/11/2020,24479,0,16
5/11/2020,24482,Suppressed*,41
5/11/2020,24483,Suppressed*,3
5/11/2020,24484,0,4
5/11/2020,24485,0,1
5/11/2020,24486,13,47
5/11/2020,24487,0,2
5/11/2020,24501,23,377
5/11/2020,24502,32,505
5/11/2020,24503,11,247
5/11/2020,24504,5,118
5/11/2020,24517,0,76
5/11/2020,24520,0,27
5/11/2020,24521,Suppressed*,167
5/11/2020,24522,15,150
5/11/2020,24523,6,224
5/11/2020,24526,Suppressed*,20
5/11/2020,24527,Suppressed*,34
5/11/2020,24528,Suppressed*,46
5/11/2020,24529,Suppressed*,44
5/11/2020,24530,0,13
5/11/2020,24531,Suppressed*,64
5/11/2020,24534,Suppressed*,26
5/11/2020,24536,0,2
5/11/2020,24538,Suppressed*,69
5/11/2020,24539,0,7
5/11/2020,24540,19,309
5/11/2020,24541,21,316
5/11/2020,24549,0,40
5/11/2020,24550,5,80
5/11/2020,24551,19,307
5/11/2020,24553,Suppressed*,30
5/11/2020,24554,Suppressed*,45
5/11/2020,24555,0,5
5/11/2020,24556,0,41
5/11/2020,24557,Suppressed*,70
5/11/2020,24558,Suppressed*,95
5/11/2020,24562,0,11
5/11/2020,24563,Suppressed*,70
5/11/2020,24565,0,8
5/11/2020,24566,Suppressed*,10
5/11/2020,24569,0,12
5/11/2020,24571,Suppressed*,20
5/11/2020,24572,10,250
5/11/2020,24574,Suppressed*,38
5/11/2020,24577,Suppressed*,48
5/11/2020,24578,Suppressed*,3
5/11/2020,24579,0,4
5/11/2020,24580,Suppressed*,12
5/11/2020,24586,Suppressed*,57
5/11/2020,24588,Suppressed*,126
5/11/2020,24589,0,28
5/11/2020,24590,10,166
5/11/2020,24592,10,238
5/11/2020,24593,Suppressed*,23
5/11/2020,24594,Suppressed*,29
5/11/2020,24595,0,3
5/11/2020,24597,Suppressed*,13
5/11/2020,24598,Suppressed*,28
5/11/2020,24599,Suppressed*,13
5/11/2020,24602,0,11
5/11/2020,24603,Suppressed*,10
5/11/2020,24605,Suppressed*,116
5/11/2020,24606,0,2
5/11/2020,24607,0,2
5/11/2020,24609,Suppressed*,80
5/11/2020,24612,0,3
5/11/2020,24613,0,20
5/11/2020,24614,15,128
5/11/2020,24620,0,18
5/11/2020,24622,0,15
5/11/2020,24628,0,5
5/11/2020,24630,0,67
5/11/2020,24631,0,20
5/11/2020,24634,0,7
5/11/2020,24635,0,11
5/11/2020,24637,0,25
5/11/2020,24639,Suppressed*,52
5/11/2020,24641,0,92
5/11/2020,24646,0,6
5/11/2020,24649,0,20
5/11/2020,24651,0,68
5/11/2020,24656,0,35
5/11/2020,24657,0,2
5/11/2020,Not Reported,476,"21,110"
5/11/2020,Out-of-State,0,"2,310"
